time,seconds_elapsed,steps
1759927751760271600,2038.0002717285156,1473
1759927754321375700,2040.5613757324218,1478
1759927756882476800,2043.1224768066406,1483
1759927759443575800,2045.6835759277344,1489
1759927762004668700,2048.244668701172,1494
1759927764565760500,2050.8057604980468,1499
1759927767126847200,2053.366847167969,1504
1759927769687930600,2055.9279306640624,1509
1759927772249010700,2058.4890107421875,1514
1759927774810092800,2061.0500927734374,1519
1759927777371176700,2063.6111767578127,1524
1759927779932251400,2066.1722514648436,1529
1759927782493324800,2068.7333247070314,1534
1759927785054397200,2071.294397216797,1539
1759927787615469000,2073.8554689941407,1544
1759927790176537000,2076.416537109375,1549
1759927792737597000,2078.977596923828,1554
1759927795298657500,2081.538657470703,1559
1759927797859718000,2084.0997177734375,1560
1759927800420786000,2086.660785888672,1560
1759927802981864000,2089.221864013672,1560
1759927805542955800,2091.782955810547,1560
1759927808104062000,2094.344062011719,1560
1759927810665175600,2096.9051755371092,1560
1759927874693328400,2160.933328369141,1560
1759927877254422800,2163.4944228515624,1568
1759927879815526000,2166.0555258789063,1573
1759927882376641800,2168.6166418457033,1579
1759927884937769500,2171.17776953125,1584
1759927887498902800,2173.7389028320313,1588
1759927890060040000,2176.3000400390624,1593
1759927892621167600,2178.8611677246095,1599
1759927895182302500,2181.4223024902344,1604
1759927897743436300,2183.9834362792967,1609
1759927900304573200,2186.5445732421877,1614
1759927902865698800,2189.1056987304687,1619
1759927905426821600,2191.6668215332033,1625
1759927907987941600,2194.2279416503907,1630
1759927910549061600,2196.7890615234373,1635
1759927913110179800,2199.3501799316405,1640
1759927915671303000,2201.911302978516,1645
1759927918232422700,2204.472422607422,1651
1759927920793552400,2207.0335524902343,1656
1759927923354679600,2209.5946794433594,1661
1759927925915805200,2212.155805175781,1666
1759927928476917800,2214.716917724609,1672
1759927931038025700,2217.2780256347655,1677
1759927933599124500,2219.8391245117186,1682
1759927936160213500,2222.400213623047,1687
1759927938721293600,2224.9612934570314,1693
1759927941282365700,2227.522365722656,1698
1759927943843420400,2230.083420410156,1703
1759927946404474400,2232.6444743652346,1709
1759927948965512000,2235.205511962891,1714
1759927951526546400,2237.766546386719,1719
1759927954087571200,2240.3275712890627,1724
1759927956648589600,2242.8885895996095,1729
1759927959209602600,2245.4496025390627,1734
1759927961770619400,2248.0106193847655,1739
1759927964331635200,2250.571635253906,1744
1759927966892664000,2253.1326640625,1749
1759927969453700000,2255.6937001953124,1754
1759927972014739000,2258.254739013672,1757
1759927974575779300,2260.815779296875,1757
1759927977136824300,2263.37682421875,1757
1759927982258890800,2268.4988908691407,1757
1759927984819913000,2271.059912841797,1757
1759928007869275600,2294.1092756347657,1757
1759928010430375400,2296.670375488281,1766
1759928012991487500,2299.231487548828,1772
1759928015552631300,2301.7926313476564,1776
1759928018113799200,2304.3537990722657,1781
1759928020674969900,2306.914969970703,1786
1759928023236153600,2309.476153564453,1790
1759928025797342200,2312.0373422851562,1794
1759928028358530300,2314.5985302734375,1799
1759928030919713500,2317.159713623047,1804
1759928033480888600,2319.720888671875,1809
1759928036042059800,2322.282059814453,1814
1759928038603212300,2324.843212402344,1819
1759928041164356400,2327.4043564453127,1824
1759928043725489000,2329.9654890136717,1830
1759928046286608100,2332.526608154297,1835
1759928048847715300,2335.087715332031,1840
1759928051408810500,2337.648810546875,1845
1759928053969896000,2340.2098959960936,1850
1759928056530966000,2342.770966064453,1855
1759928059092021500,2345.332021484375,1861
1759928061653064700,2347.893064697266,1866
1759928064214097400,2350.454097412109,1871
1759928066775122700,2353.0151228027344,1876
1759928069336147700,2355.5761477050783,1881
1759928071897166800,2358.137166748047,1886
1759928074458179000,2360.698178955078,1891
1759928077019182000,2363.259182128906,1897
1759928079580184600,2365.8201845703124,1902
1759928082141183200,2368.3811833496093,1907
1759928084702182700,2370.9421826171874,1912
1759928087263190800,2373.503190673828,1917
1759928089824209200,2376.0642092285157,1922
1759928092385232600,2378.6252326660156,1928
1759928094946261000,2381.1862609863283,1933
1759928097507289300,2383.7472893066406,1938
1759928100068317200,2386.308317138672,1943
1759928102629342500,2388.869342529297,1948
1759928105190371800,2391.4303718261717,1953
1759928107751403300,2393.9914033203127,1958
1759928110312434700,2396.5524345703125,1963
1759928112873453800,2399.113453857422,1968
1759928115434473000,2401.674472900391,1974
1759928117995488800,2404.2354887695315,1979
1759928120556501000,2406.7965009765626,1983
1759928123117512700,2409.3575126953124,1989
1759928125678511000,2411.9185109863283,1994
